Starting program at Sun Jan 16 22:46:31 2022

Parameter, CUDA_PLAYOUT, n_playout, N_SIMULATION, EXPAND_BASE

Parameter, 1, 1024, 100, 20
play, 0
24,  75.369,   0.000
26,  67.155,   0.000
28,  60.383,   0.000
30,  53.897,   0.000
32,  46.346,   0.000
34,  39.616,   0.000
36,  34.338,   0.000
38,  29.778,   0.000
40,  26.650,   0.000
42,  21.614,   0.000
44,  17.627,   0.000
46,  13.540,   0.000
47,  12.278,   0.000
48,  10.432,   0.000
49,   8.812,   0.000
51,   6.229,   0.000
52,   5.046,   0.000
53,   3.959,   0.000
54,   1.580,   0.000
56,   0.645,   0.000

play, 11
 0, 210.615,   0.000
 2, 200.673,   0.000
 4, 181.822,   0.000
 6, 166.752,   0.000
 8, 156.861,   0.000
10,  81.683,   0.000
12, 136.809,   0.000
14, 128.339,   0.000
16, 116.305,   0.000
18, 106.925,   0.000
20,  96.959,   0.000
22,  86.398,   0.000
24,  77.653,   0.000
26,  68.602,   0.000
28,  60.336,   0.000
30,  52.892,   0.000
32,  45.810,   0.000
34,  38.974,   0.000
36,  33.804,   0.000
38,  27.535,   0.000
40,  22.534,   0.000
42,  17.943,   0.000
44,  13.742,   0.000
46,  10.104,   0.000
48,   7.286,   0.000
50,   5.539,   0.000
53,   3.017,   0.000
55,   1.472,   0.000
57,   0.539,   0.000

play, 12
 0, 211.231,   0.000
 2, 197.275,   0.000
 4, 187.284,   0.000
 6, 170.758,   0.000
 8, 159.391,   0.000
10, 152.010,   0.000
12, 137.463,   0.000
14, 127.450,   0.000
16, 116.190,   0.000
18, 105.939,   0.000
20,  95.969,   0.000
22,  85.888,   0.000
24,  76.665,   0.000
26,  68.353,   0.000
28,  60.740,   0.000
30,  55.417,   0.000
32,  46.436,   0.000
34,  39.391,   0.000
36,  34.805,   0.000
38,  29.168,   0.000
40,  25.859,   0.000
42,  21.064,   0.000
44,  16.800,   0.000
46,  12.937,   0.000
48,  10.035,   0.000
50,   7.172,   0.000
51,   5.971,   0.000
52,   4.554,   0.000
53,   3.201,   0.000
54,   2.036,   0.000
56,   0.663,   0.000
58,   0.432,   0.000

play, 13
 0, 211.473,   0.000
 2, 201.150,   0.000
 4, 184.700,   0.000
 6, 174.297,   0.000
 8, 160.340,   0.000
10, 151.198,   0.000
12, 138.146,   0.000
14,  72.434,   0.000
16,  62.482,   0.000
18,   8.259,   0.000

play, 14
 0, 217.093,   0.000
 2, 200.867,   0.000
 4, 186.886,   0.000
 6, 174.606,   0.000
 8, 160.004,   0.000
10, 149.951,   0.000
12, 137.611,   0.000
14, 125.136,   0.000
16, 116.043,   0.000
18, 103.767,   0.000
20,  96.786,   0.000
22,  89.718,   0.000
24,  79.241,   0.000
26,  68.914,   0.000
28,  60.157,   0.000
30,  55.417,   0.000
32,  45.463,   0.000
34,  39.371,   0.000
36,  33.556,   0.000
38,  28.116,   0.000
40,  24.083,   0.000
42,  22.764,   0.000
43,  19.093,   0.000
44,  17.214,   0.000
45,  15.324,   0.000
47,  11.476,   0.000
48,   9.737,   0.000
49,   7.314,   0.000
51,   3.255,   0.000
53,   2.372,   0.000
54,   0.897,   0.000

play, 15
 0, 210.641,   0.000
 2, 197.125,   0.000
 4, 185.006,   0.000
 6, 174.737,   0.000
 8,  90.659,   0.000
10, 146.807,   0.000
12, 135.062,   0.000
14, 124.569,   0.000
16, 113.253,   0.000
18, 106.431,   0.000
20,  95.030,   0.000
22,  85.708,   0.000
24,  76.944,   0.000
26,  68.166,   0.000
28,  59.939,   0.000
30,  52.629,   0.000
32,  46.457,   0.000
34,  39.764,   0.000
36,  33.827,   0.000
38,  30.030,   0.000
40,  22.936,   0.000
42,  18.295,   0.000
44,  14.109,   0.000
46,  10.438,   0.000
48,   7.373,   0.000
50,   5.099,   0.000
52,   3.251,   0.000
54,   2.168,   0.000
56,   0.886,   0.000
58,   0.445,   0.000
59,   0.330,   0.000

play, 16
 0, 210.677,   0.000
 2, 198.441,   0.000
 4, 181.788,   0.000
 6, 173.988,   0.000
 8, 163.868,   0.000
10, 149.253,   0.000
12, 137.980,   0.000
14, 128.319,   0.000
16, 116.842,   0.000
18, 106.223,   0.000
20,  94.658,   0.000
22,  86.203,   0.000
24,  77.508,   0.000
26,  68.150,   0.000
28,  60.863,   0.000
30,  52.486,   0.000
32,  45.200,   0.000
34,  38.988,   0.000
36,  33.644,   0.000
38,  30.357,   0.000
40,  25.881,   0.000
42,  21.435,   0.000
44,  17.092,   0.000
46,  12.879,   0.000
48,   9.626,   0.000
50,   6.549,   0.000
52,   4.765,   0.000
54,   2.571,   0.000
56,   0.740,   0.000
58,   0.444,   0.000
59,   0.331,   0.000

play, 17
 0, 210.738,   0.000
 2, 198.732,   0.000
 4, 186.080,   0.000
 6, 172.848,   0.000
 8, 161.786,   0.000
10, 150.673,   0.000
12, 139.483,   0.000
14, 126.275,   0.000
16, 122.116,   0.000
18, 104.442,   0.000
20,  93.684,   0.000
22,  83.352,   0.000
24,  75.520,   0.000
26,  70.303,   0.000
28,  59.580,   0.000
30,  54.903,   0.000
32,  46.927,   0.000
34,  39.504,   0.000
36,  36.148,   0.000
38,  28.930,   0.000
40,  24.229,   0.000
